Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
first_day_f6ccda4f		Что со мной происходит? Как я допустил, чтобы всё дошло до такого состояния?	game/script.rpy	296	"[what]"
first_day_4bccf5a8		Раньше я был гораздо ответственнее и отдавал себе отчёт в своих поступках.	game/script.rpy	297	"[what]"
first_day_8325109a		Сейчас же кажется, что каждый день становится похож на предыдущий,	game/script.rpy	298	"[what]"
first_day_9a5c9623	extend	 и я даже не помню, когда последний раз был настоящим собой — трезвым и ясно мыслящим.	game/script.rpy	299	extend "[what]"
first_day_b4bf1d17		Я делаю глубокий вдох, пытаясь очистить голову, но мысли продолжают метаться.	game/script.rpy	300	"[what]"
first_day_e4ce4873		Может быть, мне стоит отказаться от алкоголя, – размышляю я, пытаясь найти подобие равновесия.	game/script.rpy	301	"[what]"
first_day_1d6e6ac3		Речь идет не только о здоровье, но и о восстановлении контроля над своей жизнью.	game/script.rpy	302	"[what]"
first_day_446fddb3		Из бесконечного потока мыслей меня смог вытащить только гудок подъезжающего ЛИАЗа.	game/script.rpy	306	"[what]"
first_day_58d8510e		А вот и мой автобус подъезжает.	game/script.rpy	307	"[what]"
first_day_ed36c2ec	sanya	Ладно, пора и честь знать.	game/script.rpy	308	sanya "[what]"
first_day_cb1e614f		Даже матушку свою довёл.	game/script.rpy	314	"[what]"
first_day_6106688c		Вчера с мужиками пришли пиво пить, последний день лета проводить, скажем так, а она меня поджидает у туалета и говорит:	game/script.rpy	315	"[what]"
first_day_a6981982		"Хоть бы раз домой вернулся с девчонкой какой-нибудь красивенькой, а не как обычно с парнями в зассаных майках", — "Мама, ну мы же панки"...	game/script.rpy	316	"[what]"
first_day_e6263b1f		Впрочем, ладно. У меня есть немного времени, чтобы поспать. Надо было ночью не заниматься хернёй...	game/script.rpy	317	"[what]"
first_day_1a847e42	centered	Нажимайте на вверхнюю и нижнюю части экрана	game/script.rpy	321	centered "[what]"
first_day_b4dfd29d	centered	Используйте стрелочки вверх-вниз или клавиши W, S	game/script.rpy	323	centered "[what]"
first_day_7521a120	centered	Новый рекорд!	game/script.rpy	330	centered "[what]"
first_day_326fddf1	centered	Счёт: [_return]	game/script.rpy	331	centered "[what]"
first_day_f716777c		Какой странный сон мне приснился...	game/script.rpy	339	"[what]"
first_day_69990b8f		Бесконечно едешь прямо... Как далеко можно так уехать?	game/script.rpy	340	"[what]"
first_day_410aff4c		Только вышел из автобуса, как тут мне навстречу идёт крупный парень, он явно меня узнал, а вот я его не очень...	game/script.rpy	353	"[what]"
first_day_3785ef8a		Ба-а, так это же Пашка Запивон так за лето подкачался!	game/script.rpy	354	"[what]"
first_day_0276b146	pasha	Дарова, Саня, как сам, как жизнь? Целое лето тебя не видел же!	game/script.rpy	355	pasha "[what]"
first_day_cf6fa8db	sanya	Паша, а я тебя и не узнал сперва, накачался за лето я вижу!	game/script.rpy	356	sanya "[what]"
first_day_7267140a	pasha	Да так, самую малость.	game/script.rpy	357	pasha "[what]"
first_day_873ad161	pasha	Слышь, Саня, говорили ты фамилию себе изменил, женился что ли?	game/script.rpy	363	pasha "[what]"
first_day_ee7d677d	sanya	Да там свои приколы с этим, ну захотелось мне просто фамилию новую, начать жизнь, знаешь, с чистого листа.	game/script.rpy	364	sanya "[what]"
first_day_b9952872	pasha	А чё имя-то не сменил тогда?	game/script.rpy	365	pasha "[what]"
first_day_9c2a92eb	sanya	А чё с ним не так? Имя Саня – Заебись!	game/script.rpy	366	sanya "[what]"
first_day_20116921	sanya	[player_name]	game/script.rpy	381	sanya "[what]"
first_day_1906014a	pasha	О-о-о, панковская фамилия, я вижу! Ну такое дело надо отметить!!	game/script.rpy	382	pasha "[what]"
first_day_9a65447c	pasha	[player_name_buf], пошли сегодня в кефас пиво пить, я тебя ещё за двадцатилетие за уши не тягал!	game/script.rpy	383	pasha "[what]"
first_day_8ed49377	sanya	Ну смотри, у меня одна пара, а потом никаких планов. Пошли, конечно, без проблем.	game/script.rpy	384	sanya "[what]"
first_day_c46b9457	pasha	Ну всё, патлатый, жду тебя возле курилки после пар. Если че, у меня мобила скоро сядет. Так что давай без сюрпризов.	game/script.rpy	385	pasha "[what]"
first_day_48dde6bf	pasha	Сань, я, походу, уже забыл...	game/script.rpy	395	pasha "[what]"
first_day_3de3c7e4	pasha	Как там тебя зовут, ещё раз?	game/script.rpy	396	pasha "[what]"
first_day_62906a2a	pasha	А-а-а, а я почему-то запомнил [player_name_tmp], ну ладно, [player_name_buf], теперь никогда не забуду!	game/script.rpy	410	pasha "[what]"
first_day_e7f7bebb	pasha	А-а-а, ну я так и запомнил! Давай, [player_name_buf], бывай!	game/script.rpy	412	pasha "[what]"
first_day_398fa0f5	"Преподаватель"	Встаём, студенты. Здравствуйте, поздравляю вас с началом нового учебного года, меня зовут...	game/script.rpy	423	"Преподаватель" "[what]"
first_day_98491461		Какая же скукота, вроде новый предмет, а начинается всё по-старому:	game/script.rpy	429	"[what]"
first_day_ef5b9f4c		"Фсем привет, я Такой-то Такойтович. М-м-мой претмет будет непрасты-ы-ым, но я вас фсе-ему научу, в-вот только на ле-екции обязательно ходите!!!"	game/script.rpy	430	"[what]"
first_day_ae953648		Заебало...	game/script.rpy	431	"[what]"
first_day_d2f9032c		Рядом со мной сидит удивительно прекрасная девушка, облачённая в откровенную лёгкую майку.	game/script.rpy	436	"[what]"
first_day_2b5fb3fb		Вероятно, не только мне душно на этой лекции.	game/script.rpy	437	"[what]"
first_day_d8e2db9c		Её присутствие словно дарит ветерок летнего утра, и взгляд на неё вызывает неподдельное восхищение.	game/script.rpy	438	"[what]"
first_day_adb0f12f		Ой, похоже, она заметила, что я пялюсь на неё...	game/script.rpy	449	"[what]"
first_day_89b74784	"Девушка справа"	Приветики, занят?	game/script.rpy	450	"Девушка справа" "[what]"
first_day_58ed02a5	sanya	Занят? Ага, как же. Пришел просто сон утренний досмотреть. А что, хочешь присоединиться к просмотру?..	game/script.rpy	451	sanya "[what]"
first_day_7f060a27		Бог ты мой, насколько же это была плохая и несуразная шут...	game/script.rpy	452	"[what]"
first_day_8f2dcf62		О боже, она словила смешинку с моей дурацкой шутки!	game/script.rpy	458	"[what]"
first_day_0dc6ce41		Возможно, это и есть мой шанс!	game/script.rpy	459	"[what]"
first_day_d2371150	sanya	А меня Саша зовут!	game/script.rpy	460	sanya "[what]"
first_day_4e47239e	yuli	Я Юля, очень приятно познакомиться! Ах-хах	game/script.rpy	461	yuli "[what]"
first_day_bafc1061	sanya	Юля, ты перевелась откуда-то? Я почему-то тебя раньше никогда не видел!	game/script.rpy	466	sanya "[what]"
first_day_9018af96	yuli	(шёпотом) А потому что на лекции надо чаще ходить, я тебя тоже за целый год ни разу не видела!	game/script.rpy	471	yuli "[what]"
first_day_8aeb8545		Тут она права, я вообще на эту лекцию по схемотехнике попал лишь потому что где-то надо было дождаться Пашу,	game/script.rpy	472	"[what]"
first_day_1eb12540	extend	 у него-то, видите ли, пра-а-актика, надо прийти-и-и!	game/script.rpy	473	extend "[what]"
first_day_d2654b0a	yuli	(шёпотом) Я вот никогда не понимала, зачем нам постоянно ставят предметы, которые практически бесполезны для нашего направления?	game/script.rpy	478	yuli "[what]"
first_day_85392ca0	sanya	Согласен!	game/script.rpy	479	sanya "[what]"
first_day_917a9224		Преподаватель в этот момент прекратил говорить, и я крикнул "Согласен!" на всю аудиторию.	game/script.rpy	484	"[what]"
first_day_2333ae96	"Преподователь"	Мужчина! На моём предмете разговоры могу вести только я!	game/script.rpy	489	"Преподователь" "[what]"
first_day_f6db053d		Ну что же поделать, раз такая красивая мадам будоражит мои нейроны прямо сейчас!	game/script.rpy	494	"[what]"
first_day_5a429715	extend	 Повезло ещё, что я в этот самый момент не решил крикнуть слово "ПИСЬКА!"	game/script.rpy	495	extend "[what]"
first_day_a43be3e0	sanya	(уже шёпотом) Согласен...	game/script.rpy	500	sanya "[what]"
first_day_1c120b0d	extend	 Особенно сильно раздражает, когда по этим бесполезным предметам, как, например, этот, нужно потом ещё и полноценный экзамен сдавать, билеты к нему учить и чего похуже.	game/script.rpy	501	extend "[what]"
first_day_52ae656e	yuli	(шёпотом) У этого предмета ещё и такое дурацкое название, – ...	game/script.rpy	502	yuli "[what]"
first_day_648f5300	extend	 Блин, забыла, ну это, как его...	game/script.rpy	503	extend "[what]"
first_day_8441fc47	sanya	Схемотехника!!	game/script.rpy	504	sanya "[what]"
first_day_05d7ae23	"Преподаватель"	Молодой человек, я вам в последний раз делаю замечание! Прекратите разговаривать на лекции!	game/script.rpy	514	"Преподаватель" "[what]"
first_day_e61be95d	yuli	(шёпотом) История лингвистических учений же!	game/script.rpy	525	yuli "[what]"
first_day_66fd76fe	sanya	Стоп, что?	game/script.rpy	526	sanya "[what]"
first_day_9d042bea		В эту минуту я осмотрел всю аудиторию. Вокруг меня были одни девушки... 	game/script.rpy	527	"[what]"
first_day_2634dd84	extend	О нет, кажется, я перепутал кабинеты... 	game/script.rpy	528	extend "[what]"
first_day_d5efe757	extend	И теперь вместо бесполезной схемотехники я сижу... 	game/script.rpy	529	extend "[what]"
first_day_ccda9e68	extend	Я сижу в компании приятных дам! Что за день!	game/script.rpy	530	extend "[what]"
first_day_cfc9137c	yuli	Ты что, перепутал лекторные? Бедняжка...	game/script.rpy	535	yuli "[what]"
first_day_2a70bb91		Какие ещё лекторные, правильно же лектории! Тебе бы точно не помешало послушать про лингвистические уче...	game/script.rpy	536	"[what]"
first_day_9db9f358		Ох... Она назвала меня бедняжкой... Такая скромная...	game/script.rpy	537	"[what]"
first_day_278f306c		Её взгляд такой сочувствующий, видно, что она не пытается мне посочувствовать, а именно это и делает!	game/script.rpy	538	"[what]"
first_day_7ece93ee		Сейчас она мне кажется милой до безобразия.	game/script.rpy	539	"[what]"
first_day_827c4702	extend	 Такая естественная и простая.	game/script.rpy	540	extend "[what]"
first_day_156086fd		Одевается вызывающе, но при этом стеснительная...	game/script.rpy	541	"[what]"
first_day_318820fc		Ой, сколько времени я уже молча просто пялюсь на неё? Надо срочно что-то сказать!!	game/script.rpy	546	"[what]"
first_day_7b7de1b0	sanya	У тебя лямки майки слезли, но я вижу, (шёпотом) как выступает ещё и вторая линия обороны!	game/script.rpy	547	sanya "[what]"
first_day_20f05115	yuli	(шёпотом) Что ты такое говоришь, дурачок?	game/script.rpy	552	yuli "[what]"
first_day_803d6039	sanya	(шёпотом) До этого мне казалось, что я сижу на самом бесполезном для меня предмете, но теперь я понимаю, насколько же я ошибался.	game/script.rpy	553	sanya "[what]"
first_day_ca502741	yuli	Я тоже совсем не понимаю, что я тут забыла-то?	game/script.rpy	554	yuli "[what]"
first_day_7e05e825		Разговор, кажется, заходит в тупик. Нельзя же вечно обсуждать скукоту лекции, иначе сам разговор начнёт отдавать душниной!	game/script.rpy	555	"[what]"
first_day_613656ec	sanya	Юля, а ты чем любишь заниматься обычно?	game/script.rpy	556	sanya "[what]"
first_day_b7f0f3a6	yuli	Не знаю, чем я люблю заниматься обычно, но после этой пары я свободна на все четыре стороны!	game/script.rpy	561	yuli "[what]"
first_day_4c01be49	sanya	Ого, какой темперамент!	game/script.rpy	563	sanya "[what]"
first_day_bd27b580		Я за эти 10 минут на лекции по лингвистике уже такие слова, как "темперамент" начал использовать? А что, весьма продуктивно!	game/script.rpy	564	"[what]"
first_day_48bb99e5	sanya	Вот этот настрой мне нравится!	game/script.rpy	565	sanya "[what]"
first_day_f2c19b97	"Преподаватель"	Так, молодой человек на камчатке! ...	game/script.rpy	575	"Преподаватель" "[what]"
first_day_7f0fe3d2	sanya	В тебе есть искринка, Юль, я это вижу!	game/script.rpy	576	sanya "[what]"
first_day_3ae52440	"Преподаватель"	Вы меня слышите вообще?	game/script.rpy	577	"Преподаватель" "[what]"
first_day_c506cf72	sanya	И вообще ...	game/script.rpy	578	sanya "[what]"
first_day_db4b8014	"Преподаватель"	Стукните его там кто-нибудь рядом!	game/script.rpy	579	"Преподаватель" "[what]"
first_day_f75d56f0		*Юля легко проводит рукой по моему подбородку, поворачивая голову в сторону преподавателя*	game/script.rpy	585	"[what]"
first_day_ef38a1f8	"Преподаватель"	Молодой человек, ну наконец-то! Попрошу Вас немедленно покинуть лекционный зал! 	game/script.rpy	587	"Преподаватель" "[what]"
first_day_cf011c4e		Я было оторопел от такой наглости со стороны преподавателя настолько, что начал даже собирать свои вещи, как тут меня взяла за руку Юля и обратилась ко мне.	game/script.rpy	588	"[what]"
first_day_8c9e5736	yuli	Саша, я тоже уже устала от этой душной лекции, хочешь, мы сейчас же вместе куда-нибудь сходим вместо неё? Время с тобой мне ведь явно понравится больше...	game/script.rpy	592	yuli "[what]"
first_day_b9e1cc97		Согласиться погулять с Юлей, значит кинуть Пашу с пивом, а ведь я уже договорился с ним, будет некрасиво так поступить.	game/script.rpy	593	"[what]"
first_day_a3152236		Да и к тому же Паша просил без сюрпризов. У него и телефон сел, я не смогу его даже предупредить...	game/script.rpy	594	"[what]"
first_day_f954fc9a		С другой стороны, сколько я уже пил с Пашей, а с девочкой погулять не приходилось уже очень давно...	game/script.rpy	595	"[what]"
first_day_ca640d90		Да и мама уже прям настаивает с кем-то познакомиться. Такой шанс всрать могу. Я ведь ей явно симпатичен!	game/script.rpy	596	"[what]"
first_day_aaa17f3e		Может, Паша меня и поймёт...	game/script.rpy	597	"[what]"
first_day_f12182f6	sanya	Юля, да я же с радостью! Собирайся, мы уходим!	game/script.rpy	607	sanya "[what]"
first_day_64d0b188		Тут я заметил, что Юле и собираться не из чего, просто встала и пошла за мной!	game/script.rpy	608	"[what]"
first_day_8f9c1042	sanya	Юля, давай погуляем завтра, я сегодня никак не могу – с другом уже договорился встретиться! Мы с ним тысячу лет не виделись!	game/script.rpy	619	sanya "[what]"
first_day_3a8865e5	sanya	Ты знаешь, что сделай, напиши мне свой ник в телеграме, я тебе сегодня вечером ещё напишу обязательно!	game/script.rpy	620	sanya "[what]"
first_day_2d97c9f0		Наконец-то лекция закончилась...	game/script.rpy	633	"[what]"
first_day_2f928043	extend	 Как обычно она была душной, зато на ней я познакомился с прекрасной Юлей	game/script.rpy	634	extend "[what]"
first_day_1e22ba23		У входа я сразу встретил Пашку, который уже ждал меня.	game/script.rpy	639	"[what]"
first_day_e09dc97b	pasha	Ну чё, [player_name], идём в кефас?	game/script.rpy	640	pasha "[what]"
first_day_fc0d8488	sanya	Обижаешь! конечно!	game/script.rpy	641	sanya "[what]"
first_day_31b313d6		Вспомнив про намеченные планы, я согласился, и в скором времени мы уже были на месте.	game/script.rpy	650	"[what]"
first_day_0e9579c1		Когда я вошёл внутрь, меня сразу же окутал сладкий аромат курочки, я переглянулся с Пашей и поспешил сделать заказ.	game/script.rpy	657	"[what]"
first_day_e4e453fb		Людей было не так много, хотя, казалось бы, вечер – час-пик!	game/script.rpy	658	"[what]"
first_day_f024011b	pasha	Слушай, ты уже записался на дополнительную физру? У нас в зале ещё есть свободные места.	game/script.rpy	663	pasha "[what]"
first_day_f3b81327	sanya	Я даже не думал об этом, всё, что я выбирал до этого, было полной хернёй, – занятия скучные, а преподы – мудаки	game/script.rpy	664	sanya "[what]"
first_day_a45798d0	pasha	Заебись, записывайся тогда к нашему тренеру в подвальчике. Ты его сразу узнаешь, он больше меня в два раза.	game/script.rpy	665	pasha "[what]"
first_day_f3fc2481		Куда больше-то, блядь?	game/script.rpy	666	"[what]"
first_day_9f82563f		Мне быстро принесли мой заказ: баскет дуэт и три бутылки бада.	game/script.rpy	670	"[what]"
first_day_18e6b3d9		Пару минут спустя принесли и заказ Паши: чикен моблан, три чизбургера, цезарь ролл, большая фри, большая деревенская, ещё и соус ёпте!	game/script.rpy	671	"[what]"
first_day_dcfd09ba	pasha	Ну что, Санёк, сейчас нам будет весело.	game/script.rpy	673	pasha "[what]"
first_day_4515bf2f		Сказав это, Пашка непонятно откуда достал бутылку коньячка.	game/script.rpy	675	"[what]"
first_day_555724dc	sanya	Ах-ха-ха, сука, ну, Пашка, а ты умеешь поднять настроение!	game/script.rpy	676	sanya "[what]"
first_day_a496df0b	pasha	А я умею!	game/script.rpy	677	pasha "[what]"
first_day_a64c7971	pasha	Ну что, выпьем?	game/script.rpy	678	pasha "[what]"
first_day_42e83bb7	centered	Игра "Перепей соперника"\nЗакусывая после стопки, Вы пьянеете меньше, но и получаете меньше очков\nНе закусывая, Вы зарабатываете больше очков уважения, но и пьянеете сильнее\n\nЧем вы пьянее, тем больше очков вы получаете,\nно если вы перепьёте, то проиграете!	game/script.rpy	682	centered "[what]"
first_day_730dce13		Знатно накидавшись, мы вышли из кефаса и решили перекурить.	game/script.rpy	701	"[what]"
first_day_e4d851d5	pasha	После вкусного обеда, по закону Архимеда, чтобы жиром не заплыть, нужно срочно покурить!	game/script.rpy	706	pasha "[what]"
first_day_b88e8b3a	sanya	А ты не подкинешь сигаретки?	game/script.rpy	707	sanya "[what]"
first_day_15c3cb53	pasha	Конечно, братка, держи.	game/script.rpy	712	pasha "[what]"
first_day_5bc07085		После пары затягов у меня сдавило горло и сразу захотелось блевать.	game/script.rpy	713	"[what]"
first_day_c8db34ff	sanya	Ебаный винстон синий, блядь!!	game/script.rpy	714	sanya "[what]"
first_day_92d2a71b		Мы с Пашком так много выпили, а я ещё даже и не думал рассказать ему о моём знакомстве с Юлькой.	game/script.rpy	716	"[what]"
first_day_6a798fce		Да просто все мысли были о том, как же я	game/script.rpy	717	"[what]"
first_day_11a1dfb1	extend	 жестко его перепил сегодня, что-что, а вот пил Пашка всегда слабенько	game/script.rpy	719	extend "[what]"
first_day_9dc9b4e8	extend	 жестко напился сегодня, что даже Пашка меня перепил. Явно сдаю позиции. Говорю же – старость!	game/script.rpy	721	extend "[what]"
first_day_385d8b2b	sanya	Паша, кстати, сегодня я на лекции совершенно случайно познакомился с девочкой одной...	game/script.rpy	723	sanya "[what]"
first_day_24b4ecfe	pasha	О-о-о-о!! Ну, рассказывай, как она в плане секса?	game/script.rpy	728	pasha "[what]"
first_day_323d98b9	sanya	Паш, я с ней на лекции последней только познакомился, а сейчас вот сидел с тобой пил, как ты думаешь, когда бы я успел там?	game/script.rpy	729	sanya "[what]"
first_day_65ff3680	pasha	Ну ты же на схемотехнике сидел, придумал бы там что-то на задних рядах такое...	game/script.rpy	730	pasha "[what]"
first_day_be2fb430	extend	 схемотичное!	game/script.rpy	734	extend "[what]"
first_day_898d68cd	sanya	Паша, ты дурак, тебе часто это говорят?	game/script.rpy	736	sanya "[what]"
first_day_2310c02b	pasha	Ну, а ты мне почаще об этом напоминай.	game/script.rpy	737	pasha "[what]"
first_day_e2509245	extend	 И вообще, я вижу ты уже начинаешь с девочками взлетать!	game/script.rpy	738	extend "[what]"
first_day_7d59105a	pasha	Когда они за тобой хвостами ходить будут, ты только не забывай, с кем ползал!!!	game/script.rpy	739	pasha "[what]"
first_day_fdaff430		Паша явно намекал на себя.	game/script.rpy	740	"[what]"
first_day_febf46c4	sanya	Короче, я скучал на лекции, а потом смотрю направо... и оп! там она сидит вся такая довольная...	game/script.rpy	741	sanya "[what]"
first_day_8f661589	pasha	Наверное, потому что тебя заметила, такого красавца, да?	game/script.rpy	742	pasha "[what]"
first_day_4bf7f952		А Паша то умеет засмущать	game/script.rpy	743	"[what]"
first_day_f1de9dc4	sanya	Она ещё ходит в такой очень облегающей маечке, знаешь, с вырезом в виде сердечка ниже груди. Очень мило выглядит, немного даже вызывающе...	game/script.rpy	744	sanya "[what]"
first_day_b7791dc6	sanya	Её Юля зовут, очень красивое имя между прочим! Мы с ней совсем недолго проболтали, а потом меня препод по беспределу выгонять начал. Видите ли, я шумлю тут!	game/script.rpy	745	sanya "[what]"
first_day_0223e2dc	sanya	Ну, она мне и предложила прогуляться вместо пары, но я-то знаю, что тёлок много, а друзей не выбирают! Сразу вспомнил, что на сегодня я занят. Ну и я вежливо ей...	game/script.rpy	746	sanya "[what]"
first_day_da3bf10c	pasha	ТАК, не понял, то-есть ты познакомился с симпотной девочкой, она позвала тебя сразу же гулять, а ты, такой дурной, решил вместо этого пойти пить пиво со мной?	game/script.rpy	751	pasha "[what]"
first_day_cec2fa39	sanya	Паш, мы же с тобой раньше договорились...	game/script.rpy	752	sanya "[what]"
first_day_0560afc4	pasha	Да ты совсем дурак? Тебе золото с неба упало, а ты что-то про договорились мне тут талдычишь!	game/script.rpy	757	pasha "[what]"
first_day_3549c192	sanya	Ну я взял её номер, сказал, что завтра ещё погуляем...	game/script.rpy	758	sanya "[what]"
first_day_43993313	pasha	А ну! Пиши ей прямо щас, говори, что передумал, что ты мужик и хочешь видеть её!	game/script.rpy	759	pasha "[what]"
first_day_a24d06ff	sanya	Паша, ну я ж ...	game/script.rpy	760	sanya "[what]"
first_day_ed54423a	extend	 ну я ж того ... в зюзю!	game/script.rpy	761	extend "[what]"
first_day_3763ff46	pasha	Пи-ши я те-бе ска-зал!	game/script.rpy	766	pasha "[what]"
first_day_d0bef6fb		Последняя трезвая частичка меня просто кричит, что это всё не к добру...	game/script.rpy	767	"[what]"
first_day_3ec913d5		Я достал телефон, нашёл её контакт и написал ей следующее, считай, любовное послание:	game/script.rpy	768	"[what]"
first_day_4f67c805	sms_c	Сегодня	game/script.rpy	776	sms_c "[what]"
first_day_b70e5fdf	sms_r	поивет юлтчка!!!	game/script.rpy	778	sms_r "[what]"
first_day_7011dd3f	sms_r		game/script.rpy	780	sms_r "[what]"
first_day_85068ce0	sms_r	п мы можкм с тобой скйчас прямо встетитсья?б	game/script.rpy	782	sms_r "[what]"
first_day_3adee41f	sms_r		game/script.rpy	784	sms_r "[what]"
first_day_bdb49f86	sms_r	посто я очень ну хряу тебя видеть!	game/script.rpy	786	sms_r "[what]"
first_day_4313eed5	sms_r	мяу)	game/script.rpy	788	sms_r "[what]"
first_day_637d8718		Ну, вроде получилось неплохо, даже смайлики добавил к месту!	game/script.rpy	793	"[what]"
first_day_e2f96bbc	sanya	Ой, ответила!	game/script.rpy	794	sanya "[what]"
first_day_b7438c20	pasha	Что пишет? Не томи!	game/script.rpy	795	pasha "[what]"
first_day_a6a6b187	sms_yuli	Привет, Саша, я сразу и не поняла, кто мне пишет такие романсы)))	game/script.rpy	801	sms_yuli "[what]"
first_day_89a66f96	sms_yuli	Я сейчас на набережной стою, скучаю как раз	game/script.rpy	803	sms_yuli "[what]"
first_day_572d07cf	sms_yuli	Хочешь, приходи	game/script.rpy	804	sms_yuli "[what]"
first_day_31b10f05	sanya	 – подмигивающий смайлик.	game/script.rpy	809	sanya "[what]"
first_day_f2793ce9	pasha	Ну и чего ты ждёшь? Беги к ней обниматься-целоваться!	game/script.rpy	817	pasha "[what]"
first_day_ee5a7e33	pasha	Саня, Саня, не теряй такие возможности! Я тоже уже как раз до хаты собираюсь. Давай, расскажешь завтра, как оно там!	game/script.rpy	826	pasha "[what]"
first_day_14c8db4a	sanya	Паша, да... Мне уже в любом случае пора бы домой идти. Если случайно встретимся, то встретимся, если нет, то не суждено значит.	game/script.rpy	834	sanya "[what]"
first_day_ab6aa576	storyteller	Саня нервно пробирался к набережной, надеясь, что не споткнется о собственные ноги. Он был ещё немного пьян от выпитого с Пашей. Однако он был рад встрече с Юлей.	game/script.rpy	853	storyteller "[what]"
first_day_8bf820ba	storyteller	Когда он увидел её, она стояла у перил и смотрела на воду. Саня подошёл к ней, и она повернулась, чтобы поприветствовать его улыбкой.	game/script.rpy	855	storyteller "[what]"
first_day_1e0b5e85	yuli	Привет, Саша! Очень рада наконец-то с тобой познакомиться!	game/script.rpy	857	yuli "[what]"
first_day_faaf9ef9	sanya	Привет, Юля. Я тоже рад тебя видеть.	game/script.rpy	859	sanya "[what]"
first_day_3aa95242		Вау, она выглядит ещё красивее, чем я помнил.	game/script.rpy	861	"[what]"
first_day_ddc0a683	yuli	На улице идет сильный дождь, но я подумала, что мы всё равно можем прогуляться по мосту.	game/script.rpy	864	yuli "[what]"
first_day_e660c478	sanya	Конечно, звучит неплохо.	game/script.rpy	866	sanya "[what]"
first_day_13c1c373	yuli	Итак, что ты думаешь о сегодняшней лекции?	game/script.rpy	868	yuli "[what]"
first_day_136e0659	sanya	Если честно, я не особо обращал внимание. Я был слишком занят разговором с тобой.	game/script.rpy	870	sanya "[what]"
first_day_3a17e7fb	storyteller	Слова Сани только укрепили у Юли уверенность в приятности его компании.	game/script.rpy	872	storyteller "[what]"
first_day_8da7298e		Её сердце забилось немного быстрее, ведь она тоже чувствовала, что с ним так легко и приятно общаться.	game/script.rpy	873	"[what]"
first_day_d22a4a7c	yuli	Ха-ха, ну надеюсь, я не сильно тебя отвлекала.	game/script.rpy	877	yuli "[what]"
first_day_2aec4da5	yuli	Мне тоже было очень интересно общаться с тобой,	game/script.rpy	879	yuli "[what]"
first_day_a79ef4ee	storyteller	ответила она, слегка покраснев.	game/script.rpy	880	storyteller "[what]"
first_day_72705cdc		Такое чувство, будто мы давно знакомы.	game/script.rpy	881	"[what]"
first_day_4310e043	storyteller	Внутренние мысли Сани подтверждали слова Юли. Он действительно ощущал какую-то особенную связь с ней, будто они уже давно были знакомы.	game/script.rpy	883	storyteller "[what]"
first_day_aa2015f1		Взглядом я следовал за каждым её движением и улыбкой, чувствуя, что эта встреча могла изменить что-то в моей жизни.	game/script.rpy	884	"[what]"
first_day_e0bc763c	storyteller	Пока они шли по мосту, Саня и Юля болтали о своих интересах и увлечениях. Они обнаружили, что у них много общего, и вскоре дождь прекратился, и солнце выглянуло из-за туч.	game/script.rpy	886	storyteller "[what]"
first_day_25eb6c18	storyteller	Словно подчеркивая природное слияние этих двух молодых сердец. Внешняя атмосфера отражала их чувства – свежесть, новизну и радость.	game/script.rpy	888	storyteller "[what]"
first_day_5222aa09	yuli	Саша, а не хочешь перекусить где-нибудь?	game/script.rpy	889	yuli "[what]"
